Title,Stars,Rating,Director,Plot
Edge of Tomorrow,Tom Cruise - Emily Blunt - Bill Paxton,7.9/10,Doug Liman,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
Ant-Man,Paul Rudd - Michael Douglas - Corey Stoll,7.2/10,Peyton Reed,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world."
